ean,prazo_erp,prazo_marketplace,diferenca,status
7908816394050,30,0,-30,divergente
7908816394043,30,0,-30,divergente
7908816394036,30,0,-30,divergente
7908816394029,30,0,-30,divergente
7908816394012,30,0,-30,divergente
7908816394180,30,0,-30,divergente
7908816394173,30,0,-30,divergente
7908816394166,30,0,-30,divergente
7908816394159,30,0,-30,divergente
7908816394067,30,0,-30,divergente
7899741111808,3,33,30,divergente
7899741107139,3,33,30,divergente
7899741104046,3,33,30,divergente
7908816303489,3,33,30,divergente
7908599346291,3,33,30,divergente
7908599346154,3,33,30,divergente
7908599342583,3,33,30,divergente
7908599342477,3,33,30,divergente
7908599342460,3,33,30,divergente
7908258538890,3,25,22,divergente
7908258538869,3,25,22,divergente
7899762724032,20,5,-15,divergente
7908816367924,5,20,15,divergente
7908599391949,20,5,-15,divergente
7908599391437,5,20,15,divergente
