ean,nome,atributos_extraidos,status
7908816369959,Mesa de Cabeceira com Gavetas Kit 2 Sole Flex Branco/Freijó - Albatroz,"{'largura': '45 cm', 'altura': '65 cm', 'profundidade': '36 cm', 'peso': '12 kg'}",sucesso
7908816369966,Mesa de Cabeceira com Gavetas Kit 2 Sole Flex Freijó/Off White - Albatroz,"{'largura': '45 cm', 'altura': '65 cm', 'profundidade': '36 cm', 'peso': '12 kg'}",sucesso
7908816369973,Mesa de Cabeceira com Gavetas Kit 2 Sole Flex Freijó/Titanium - Albatroz,"{'largura': '45 cm', 'altura': '65 cm', 'profundidade': '36 cm', 'peso': '12 kg'}",sucesso
7908816369980,Guarda Roupa Casal 270cm 6 Portas Fascine A02 Off/Cinamomo - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '199,2 kg'}",sucesso
7908816369997,Guarda Roupa Casal 270cm 6 Portas Fascine A02 Cinamomo - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '199,2 kg'}",sucesso
7908816370009,Guarda Roupa Casal 270cm 6 Portas Fascine A02 Off/Freijó - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '199,2 kg'}",sucesso
7908816370016,Guarda Roupa Casal 270cm com Espelho Fascine A02 Off/Cinamomo - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '209,4 kg'}",sucesso
7908816370023,Guarda Roupa Casal 270cm com Espelho Fascine A02 Cinamomo - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '209,4 kg'}",sucesso
7908816370030,Guarda Roupa Casal 270cm com Espelho Fascine A02 Off/Freijó - Mpozenato,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '56 cm', 'peso': '209,4 kg'}",sucesso
7908816370047,Guarda Roupa Casal 240cm 2 Portas Aline Flex A02 Off/Sálvia - Mpozenato,"{'largura': '240 cm', 'altura': '231 cm', 'profundidade': '56 cm', 'peso': '192,3 kg'}",sucesso
7908816370054,Guarda Roupa Casal 240cm 2 Portas Aline Flex A02 Off/Titanium - Mpozenato,"{'largura': '240 cm', 'altura': '231 cm', 'profundidade': '56 cm', 'peso': '192,3 kg'}",sucesso
