ean,nome,atributos_extraidos,status
7908816371563,Armário de Cozinha Aéreo 2 Portas 80cm Minsk Freijó Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '80,5 cm', 'profundidade': '28,6 cm', 'peso': '16,8 kg'}",sucesso
7908816371570,Armário de Cozinha Aéreo 2 Portas 80cm Minsk Freijó/Soft Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '80,5 cm', 'profundidade': '28,6 cm', 'peso': '16,8 kg'}",sucesso
7908816371587,Armário de Cozinha 80cm 2 Portas de Vidro Minsk Freijó Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '80,5 cm', 'profundidade': '29,5 cm', 'peso': '16,5 kg'}",sucesso
7908816371594,Armário de Cozinha Aéreo 2 Portas 120cm Minsk Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '80,5 cm', 'profundidade': '28,6 cm', 'peso': '24,2 kg'}",sucesso
7908816371600,Armário de Cozinha Aéreo 2 Portas 120cm Minsk Freijó/Soft Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '80,5 cm', 'profundidade': '28,6 cm', 'peso': '24,2 kg'}",sucesso
7908816371617,Armário de Cozinha 120cm 2 Portas de Vidro Minsk Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '80,5 cm', 'profundidade': '29,5 cm', 'peso': '23 kg'}",sucesso
7908816371624,Armário Aéreo de Canto Reto Minsk Freijó Z06 - Mpozenato,"{'largura': '94,3 cm', 'altura': '80,5 cm', 'profundidade': '53,3 cm', 'peso': '22,2 kg'}",sucesso
7908816371631,Armário Aéreo de Canto Reto Minsk Freijó/Soft Z06 - Mpozenato,"{'largura': '94,3 cm', 'altura': '80,5 cm', 'profundidade': '53,3 cm', 'peso': '22,2 kg'}",sucesso
7908816371648,Balcão de Cozinha Com Tampo 80cm 2 Portas Minsk Vanilla Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '90 cm', 'profundidade': '53 cm', 'peso': '28 kg'}",sucesso
7908816371655,Balcão de Cozinha Com Tampo 80cm 2 Portas Minsk Branco Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '90 cm', 'profundidade': '53 cm', 'peso': '28 kg'}",sucesso
7908816371662,Balcão de Canto Reto Com Tampo e Painel 94cm Minsk Vanilla Z06 - Mpozenato,"{'largura': '94 cm', 'altura': '91,5 cm', 'profundidade': '53 cm', 'peso': '29,8 kg'}",sucesso
7908816371679,Balcão de Canto Reto Com Tampo e Painel 94cm Minsk Branco Z06 - Mpozenato,"{'largura': '94 cm', 'altura': '91,5 cm', 'profundidade': '53 cm', 'peso': '29,8 kg'}",sucesso
7908816371686,Paneleiro Cozinha Torre Quente Duplo Minsk Vanilla/Freijó Z06 - Mpozenato,"{'largura': '69,9 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '39,7 kg'}",sucesso
7908816371693,Paneleiro Cozinha Torre Quente Duplo Minsk Branco/Freijó Z06 - Mpozenato,"{'largura': '69,9 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '39,7 kg'}",sucesso
7908816371709,Paneleiro Cozinha Torre Quente Duplo Minsk Branco/Soft/Freijó Z06 - Mpozenato,"{'largura': '69,9 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '39,7 kg'}",sucesso
7908816371716,Paneleiro Cristaleira 2 Portas 38cm Minsk Freijó Z06 - Mpozenato,"{'largura': '38,4 cm', 'altura': '222,5 cm', 'profundidade': '41,2 cm', 'peso': '29,2 kg'}",sucesso
7908816371723,Paneleiro de Cozinha 3 Portas Minsk Vanilla/Freijó Z06 - Mpozenato,"{'largura': '74,8 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '48,3 kg'}",sucesso
7908816371730,Paneleiro de Cozinha 3 Portas Minsk Branco/Freijó Z06 - Mpozenato,"{'largura': '74,8 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '48,3 kg'}",sucesso
7908816371747,Paneleiro de Cozinha 3 Portas Minsk Branco/Soft/Freijó Z06 - Mpozenato,"{'largura': '74,8 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '48,3 kg'}",sucesso
7908816371754,Paneleiro de Cozinha Portas de Vidro Minsk Vanilla/Freijó Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '47,5 kg'}",sucesso
7908816371761,Paneleiro de Cozinha Portas de Vidro Minsk Branco/Freijó Z06 - Mpozenato,"{'largura': '80 cm', 'altura': '222,5 cm', 'profundidade': '53,3 cm', 'peso': '47,5 kg'}",sucesso
7908816371778,Armário de Cozinha CP05 Com Tampo 120cm Minsk Vanilla/Freijó Z06 - Mpozenato,"{'largura': '280 cm', 'altura': '222,5 cm', 'profundidade': nan, 'peso': '129,3 kg'}",sucesso
7908816371785,Armário de Cozinha CP05 Com Tampo 120cm Minsk Branco/Freijó Z06 - Mpozenato,"{'largura': '280 cm', 'altura': '222,5 cm', 'profundidade': nan, 'peso': '129,3 kg'}",sucesso
7908816371792,Armário de Cozinha CP05 Com Tampo 120cm Minsk Branco/Soft Z06 - Mpozenato,"{'largura': '280 cm', 'altura': '222,5 cm', 'profundidade': nan, 'peso': '129,3 kg'}",sucesso
7908816371808,Armário de Cozinha CP06 Com Tampo 120cm Minsk Branco/Soft Z06 - Mpozenato,"{'largura': '360 cm', 'altura': '222,5 cm', 'profundidade': nan, 'peso': '169,3 kg'}",sucesso
7908816371815,Armário de Cozinha CP07 Com Tampo 120cm Minsk Vanilla/Freijó Z06 - Mpozenato,"{'largura': '349,9 cm', 'altura': '222,5 cm', 'profundidade': nan, 'peso': '161,6 kg'}",sucesso
7908816371822,Armário de Cozinha CP08 Com Tampo 120cm Minsk Branco/Freijó Z06 - Mpozenato,"{'largura': nan, 'altura': '222,5 cm', 'profundidade': nan, 'peso': '359,8 kg'}",sucesso
7908816371839,Balcão de Cozinha Com Tampo 91cm Vivian Nogueira/Off White Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '86 cm', 'profundidade': '36,3 cm', 'peso': '20,6 kg'}",sucesso
7908816371846,Balcão de Cozinha Com Tampo 91cm Vivian Freijó/Gris Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '86 cm', 'profundidade': '36,3 cm', 'peso': '20,6 kg'}",sucesso
7908816371853,Balcão de Cozinha Com Tampo 91cm Vivian Freijó/Supremo Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '86 cm', 'profundidade': '36,3 cm', 'peso': '20,6 kg'}",sucesso
7908816371860,Armário de Cozinha Compacta 221cm Vivian Nogueira/Off White Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': '28,6 cm', 'peso': '47,3 kg'}",sucesso
7908816371877,Armário de Cozinha Compacta 221cm Vivian Freijó/Gris Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': '28,6 cm', 'peso': '47,3 kg'}",sucesso
7908816371884,Armário de Cozinha Compacta 221cm Vivian Freijó/Supremo Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': '28,6 cm', 'peso': '47,3 kg'}",sucesso
7908816371891,Cozinha Compacta Com Balcão 221cm Vivian Nogueira/Off White Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '67,9 kg'}",sucesso
7908816371907,Cozinha Compacta Com Balcão 221cm Vivian Freijó/Gris Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '67,9 kg'}",sucesso
7908816371914,Cozinha Compacta Com Balcão 221cm Vivian Freijó/Supremo Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '67,9 kg'}",sucesso
7908816371921,Balcão de Cozinha Com Tampo 91cm Vivian Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '85,7 cm', 'profundidade': '36,3 cm', 'peso': '19,7 kg'}",sucesso
7908816371938,Balcão de Cozinha Com Tampo 91cm Vivian Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '85,7 cm', 'profundidade': '36,3 cm', 'peso': '19,7 kg'}",sucesso
7908816371945,Armário de Cozinha Compacta 221cm Vivian Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': '28,3 cm', 'peso': '48 kg'}",sucesso
7908816371952,Armário de Cozinha Compacta 221cm Vivian Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': '28,3 cm', 'peso': '48 kg'}",sucesso
7908816371969,Cozinha Compacta Com Balcão 221cm Vivian Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '67,7 kg'}",sucesso
7908816371976,Cozinha Compacta Com Balcão 221cm Vivian Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '221,6 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '67,7 kg'}",sucesso
7908816371983,Armário de Cozinha Compacta 132cm Stella Freijó/Soft Z06 - Mpozenato,"{'largura': '132 cm', 'altura': '186 cm', 'profundidade': '38,8 cm', 'peso': '55,4 kg'}",sucesso
7908816371990,Armário de Cozinha Compacta 132cm Stella Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '132 cm', 'altura': '185,7 cm', 'profundidade': '38,8 cm', 'peso': '55,4 kg'}",sucesso
7908816372003,Armário de Cozinha Compacta 132cm Stella Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '132 cm', 'altura': '185,7 cm', 'profundidade': '38,8 cm', 'peso': '55,4 kg'}",sucesso
7908816372010,Armário de Cozinha Compacta 180cm Turim Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '180,2 cm', 'altura': '198 cm', 'profundidade': '38,8 cm', 'peso': '69,7 kg'}",sucesso
7908816372027,Armário de Cozinha Compacta 180cm Turim Plus Freijó/Supremo Z06 - Mpozenato,"{'largura': '180,2 cm', 'altura': '198 cm', 'profundidade': '38,8 cm', 'peso': '69,7 kg'}",sucesso
7908816372034,Armário de Cozinha Compacta 121cm Pádua Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '121,5 cm', 'altura': '175,7 cm', 'profundidade': '36,3 cm', 'peso': '43,5 kg'}",sucesso
7908816372041,Armário de Cozinha Compacta 121cm Pádua Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '121,5 cm', 'altura': '175,7 cm', 'profundidade': '36,3 cm', 'peso': '43,5 kg'}",sucesso
7908816372058,Armário de Cozinha Compacta 90cm Bruna Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '173,5 cm', 'profundidade': '36,3 cm', 'peso': '31,5 kg'}",sucesso
7908816372065,Armário de Cozinha Compacta 90cm Bruna Plus Freijó/Supremo Z06 - Mpozenato,"{'largura': '90,9 cm', 'altura': '173,5 cm', 'profundidade': '36,3 cm', 'peso': '31,5 kg'}",sucesso
7908816372072,Armário de Cozinha Compacta 121cm Bruna Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '120,8 cm', 'altura': '173,5 cm', 'profundidade': '36,3 cm', 'peso': '40,9 kg'}",sucesso
7908816372089,Armário de Cozinha Compacta 121cm Bruna Plus Freijó/Supremo Z06 - Mpozenato,"{'largura': '120,8 cm', 'altura': '173,5 cm', 'profundidade': '36,3 cm', 'peso': '40,9 kg'}",sucesso
7908816372096,Balcão de Cozinha Com Tampo 120cm Louis Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '85,7 cm', 'profundidade': '42,3 cm', 'peso': '27,7 kg'}",sucesso
7908816372102,Balcão de Cozinha Com Tampo 120cm Louis Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '85,7 cm', 'profundidade': '42,3 cm', 'peso': '27,7 kg'}",sucesso
7908816372119,Armário de Cozinha Compacta 251cm Louis Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '58 kg'}",sucesso
7908816372126,Armário de Cozinha Compacta 251cm Louis Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '58 kg'}",sucesso
7908816372133,Cozinha Compacta Com Balcão 251cm Louis Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '85,8 kg'}",sucesso
7908816372140,Cozinha Compacta Com Balcão 251cm Louis Plus Freijó/Gris Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '193 cm', 'profundidade': nan, 'peso': '85,8 kg'}",sucesso
7908816372157,TAMPO 1200 MDF 12MM - COMPONENTE - Mpozenato,"{'largura': nan, 'altura': nan, 'profundidade': nan, 'peso': nan}",sucesso
7908816372164,Balcão de Cozinha Com Tampo 3 Portas Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '85,7 cm', 'profundidade': '41,8 cm', 'peso': '27,7 kg'}",sucesso
7908816372171,Balcão de Cozinha Sem Tampo 120cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '84,5 cm', 'profundidade': '51,5 cm', 'peso': '27,2 kg'}",sucesso
7908816372188,Balcão de Cozinha Com Tampo 120cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '84,5 cm', 'profundidade': '51,5 cm', 'peso': '32,7 kg'}",sucesso
7908816372195,Balcão de Cozinha Com Pia 120cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '120 cm', 'altura': '84,5 cm', 'profundidade': '53 cm', 'peso': '41,2 kg'}",sucesso
7908816372201,Armário de Cozinha Compacta 251cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '57,1 kg'}",sucesso
7908816372218,Armário de Cozinha Compacta 251cm Laura Plus Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '57,1 kg'}",sucesso
7908816372225,Cozinha Compacta Com Balcão 251cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '84,8 kg'}",sucesso
7908816372232,Cozinha Compacta Com Balcão 251cm Laura Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '84,8 kg'}",sucesso
7908816372249,Cozinha Compacta Balcão Sem Tampo Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '84,3 kg'}",sucesso
7908816372256,Cozinha Compacta Balcão Sem Tampo Laura Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '84,3 kg'}",sucesso
7908816372263,Cozinha Compacta Balcão Com Tampo 120cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '89,9 kg'}",sucesso
7908816372270,Cozinha Compacta Balcão Com Tampo 120cm Laura Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '89,9 kg'}",sucesso
7908816372287,Cozinha Compacta Balcão Com Pia 120cm Laura Plus Soft/Freijó Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '98,3 kg'}",sucesso
7908816372294,Cozinha Compacta Balcão Com Pia 120cm Laura Plus Freijó/Soft Z06 - Mpozenato,"{'largura': '250,7 cm', 'altura': '206,7 cm', 'profundidade': nan, 'peso': '98,3 kg'}",sucesso
7908816372300,Mesa Bancada Gourmet Para Cozinha Salt Branco Z06 - Mpozenato,"{'largura': '69,4 cm', 'altura': '175,1 cm', 'profundidade': nan, 'peso': '42,1 kg'}",sucesso
7908816372317,Mesa Bancada Gourmet Para Cozinha Salt Preto Z06 - Mpozenato,"{'largura': '69,4 cm', 'altura': '175,1 cm', 'profundidade': nan, 'peso': '42,1 kg'}",sucesso
