ean,nome,atributos_extraidos,status
7908816361694,Tampo Para Balcão de Cozinha 98cm MDP M24 Branco - Mpozenato,"{'largura': '98 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '6 kg'}",sucesso
7908816361700,Tampo Para Balcão de Cozinha 98cm MDP M24 Preto - Mpozenato,"{'largura': '98 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '6 kg'}",sucesso
7908816361717,Tampo Para Balcão de Cozinha 98cm MDP M24 Freijó - Mpozenato,"{'largura': '98 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '6 kg'}",sucesso
7908816361724,Tampo Para Balcão de Cozinha 98cm MDP M24 Grafite - Mpozenato,"{'largura': '98 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '6 kg'}",sucesso
7908816361731,Tampo Para Balcão de Cozinha 118cm MDP M24 Branco - Mpozenato,"{'largura': '118 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '7 kg'}",sucesso
7908816361748,Tampo Para Balcão de Cozinha 118cm MDP M24 Preto - Mpozenato,"{'largura': '118 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '7 kg'}",sucesso
7908816361755,Tampo Para Balcão de Cozinha 118cm MDP M24 Freijó - Mpozenato,"{'largura': '118 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '7 kg'}",sucesso
7908816361762,Tampo Para Balcão de Cozinha 118cm MDP M24 Grafite - Mpozenato,"{'largura': '118 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '7 kg'}",sucesso
7908816361779,Tampo Para Balcão de Cozinha 148cm MDP M24 Branco - Mpozenato,"{'largura': '148 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '8,7 kg'}",sucesso
7908816361786,Tampo Para Balcão de Cozinha 148cm MDP M24 Preto - Mpozenato,"{'largura': '148 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '8,7 kg'}",sucesso
7908816361793,Tampo Para Balcão de Cozinha 148cm MDP M24 Freijó - Mpozenato,"{'largura': '148 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '8,7 kg'}",sucesso
7908816361809,Tampo Para Balcão de Cozinha 148cm MDP M24 Grafite - Mpozenato,"{'largura': '148 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '8,7 kg'}",sucesso
7908816361816,Tampo Para Balcão de Cozinha 178cm MDP M24 Branco - Mpozenato,"{'largura': '178 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '10,6 kg'}",sucesso
7908816361823,Tampo Para Balcão de Cozinha 178cm MDP M24 Preto - Mpozenato,"{'largura': '178 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '10,6 kg'}",sucesso
7908816361830,Tampo Para Balcão de Cozinha 178cm MDP M24 Freijó - Mpozenato,"{'largura': '178 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '10,6 kg'}",sucesso
7908816361847,Tampo Para Balcão de Cozinha 178cm MDP M24 Grafite - Mpozenato,"{'largura': '178 cm', 'altura': '8,5 cm', 'profundidade': '52,5 cm', 'peso': '10,6 kg'}",sucesso
7908816361854,Balcão de Cozinha Para Cooktop 80cm Pérola M24 Branco - Mpozenato,"{'largura': '80 cm', 'altura': '89,5 cm', 'profundidade': '52,5 cm', 'peso': '23 kg'}",sucesso
7908816361861,Balcão de Cozinha Para Cooktop 80cm Pérola M24 Preto - Mpozenato,"{'largura': '80 cm', 'altura': '89,5 cm', 'profundidade': '52,5 cm', 'peso': '23 kg'}",sucesso
