ean,nome,atributos_extraidos,status
7908816371068,Sofá Retrátil 2 Lugares Para Sala 175cm Dijon Couro Bordô S07 - Mpozenato,"{'largura': '175 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '56 kg'}",sucesso
7908816371075,Sofá Retrátil 2 Lugares Para Sala 175cm Dijon Couro Bege S07 - Mpozenato,"{'largura': '175 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '56 kg'}",sucesso
7908816371082,Sofá Retrátil 2 Lugares Para Sala 175cm Dijon Couro Mel S07 - Mpozenato,"{'largura': '175 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '56 kg'}",sucesso
7908816371099,Sofá Retrátil 2 Lugares Para Sala 175cm Dijon Couro Creme S07 - Mpozenato,"{'largura': '175 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '56 kg'}",sucesso
7908816371105,Sofá Retrátil 2 Lugares Para Sala 175cm Dijon Couro Caramelo S07 - Mpozenato,"{'largura': '175 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '56 kg'}",sucesso
7908816371112,Sofá Retrátil 2 Lugares Para Sala 215cm Dijon Couro Bordô S07 - Mpozenato,"{'largura': '215 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '60 kg'}",sucesso
7908816371129,Sofá Retrátil 2 Lugares Para Sala 215cm Dijon Couro Bege S07 - Mpozenato,"{'largura': '215 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '60 kg'}",sucesso
7908816371136,Sofá Retrátil 2 Lugares Para Sala 215cm Dijon Couro Mel S07 - Mpozenato,"{'largura': '215 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '60 kg'}",sucesso
7908816371143,Sofá Retrátil 2 Lugares Para Sala 215cm Dijon Couro Creme S07 - Mpozenato,"{'largura': '215 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '60 kg'}",sucesso
7908816371150,Sofá Retrátil 2 Lugares Para Sala 215cm Dijon Couro Caramelo S07 - Mpozenato,"{'largura': '215 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '60 kg'}",sucesso
7908816371167,Sofá Retrátil 3 Lugares Para Sala 250cm Dijon Couro Bordô S07 - Mpozenato,"{'largura': '250 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '72 kg'}",sucesso
7908816371174,Sofá Retrátil 3 Lugares Para Sala 250cm Dijon Couro Bege S07 - Mpozenato,"{'largura': '250 cm', 'altura': '90 cm', 'profundidade': '120 cm', 'peso': '72 kg'}",sucesso
