ean,nome,atributos_extraidos,status
7908816368525,Armário de Cozinha Aéreo 100cm Basculante Mia M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '54 cm', 'profundidade': '29 cm', 'peso': '17 kg'}",sucesso
7908816368730,Armário de Cozinha Aéreo 100cm Basculante Mia M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '54 cm', 'profundidade': '29 cm', 'peso': '17 kg'}",sucesso
7908816368532,Armário de Cozinha Aéreo 100cm Basculante Mia M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '54 cm', 'profundidade': '29 cm', 'peso': '17 kg'}",sucesso
7908816368549,Balcão de Cozinha 100cm Sem Tampo Julia M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '22 kg'}",sucesso
7908816368556,Balcão de Cozinha 100cm Sem Tampo Julia M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '22 kg'}",sucesso
7908816368563,Balcão de Cozinha 100cm Sem Tampo Julia M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '22 kg'}",sucesso
7908816368570,Tampo Para Balcão de Cozinha 100cm MDP M24 Freijó - Mpozenato,"{'largura': '100 cm', 'altura': '8,5 cm', 'profundidade': '50,5 cm', 'peso': '5 kg'}",sucesso
7908816368587,Balcão de Cozinha Com Tampo 100cm Julia M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '27 kg'}",sucesso
7908816368594,Balcão de Cozinha Com Tampo 100cm Julia M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '27 kg'}",sucesso
7908816368600,Balcão de Cozinha Com Tampo 100cm Julia M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '27 kg'}",sucesso
7908816368617,Balcão de Cozinha Com Pia Inox 100cm Julia M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '33 kg'}",sucesso
7908816368624,Balcão de Cozinha Com Pia Inox 100cm Julia M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '33 kg'}",sucesso
7908816368631,Balcão de Cozinha Com Pia Inox 100cm Julia M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '33 kg'}",sucesso
7908816368648,Armário de Cozinha Nichos CP01 Para Pia 100cm M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '39 kg'}",sucesso
7908816368655,Armário de Cozinha Nichos CP01 Para Pia 100cm M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '39 kg'}",sucesso
7908816368662,Armário de Cozinha Nichos CP01 Para Pia 100cm M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '49,5 cm', 'peso': '39 kg'}",sucesso
7908816368679,Armário de Cozinha Nichos CP01 e Tampo 100cm M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '44 kg'}",sucesso
7908816368686,Armário de Cozinha Nichos CP01 e Tampo 100cm M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '44 kg'}",sucesso
7908816368693,Armário de Cozinha Nichos CP01 e Tampo 100cm M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '50,5 cm', 'peso': '44 kg'}",sucesso
7908816368709,Armário de Cozinha Com Nicho CP01 e Pia 100cm M24 Freijó/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '50 kg'}",sucesso
7908816368716,Armário de Cozinha Com Nicho CP01 e Pia 100cm M24 Freijó/Preto - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '50 kg'}",sucesso
7908816368723,Armário de Cozinha Com Nicho CP01 e Pia 100cm M24 Preto/Grafite - Mpozenato,"{'largura': '100 cm', 'altura': '81 cm', 'profundidade': '53 cm', 'peso': '50 kg'}",sucesso
