ean,nome,atributos_extraidos,status
7908816370863,Rack Bancada Para TV 45 Pol 136cm Lucca Off White/Freijó C01 - Mpozenato,"{'largura': '136 cm', 'altura': '61,9 cm', 'profundidade': '36 cm', 'peso': '24 kg'}",sucesso
7908816370870,Rack Bancada Para TV 45 Pol 136cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '136 cm', 'altura': '61,9 cm', 'profundidade': '36 cm', 'peso': '24 kg'}",sucesso
7908816370887,Rack Bancada Para TV 55 Pol 150cm Lucca Off White/Freijó C01 - Mpozenato,"{'largura': '150 cm', 'altura': '61,9 cm', 'profundidade': '36 cm', 'peso': '31 kg'}",sucesso
7908816370894,Rack Bancada Para TV 55 Pol 150cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '150 cm', 'altura': '61,9 cm', 'profundidade': '36 cm', 'peso': '31 kg'}",sucesso
7908816370900,Rack Bancada Para TV 65 Pol 180cm Lucca Off White/Freijó C01 - Mpozenato,"{'largura': '180 cm', 'altura': '61,9 cm', 'profundidade': '37,9 cm', 'peso': '39,3 kg'}",sucesso
7908816370917,Rack Bancada Para TV 65 Pol 180cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '180 cm', 'altura': '61,9 cm', 'profundidade': '37,9 cm', 'peso': '39,3 kg'}",sucesso
7908816370924,Painel TV 65 Pol Extensível 136cm até 180cm Lucca Off White C01 - Mpozenato,"{'largura': '136 cm', 'altura': '180 cm', 'profundidade': '17,5 cm', 'peso': '19,2 kg'}",sucesso
7908816370931,Painel TV 65 Pol Extensível 136cm até 180cm Lucca Areia C01 - Mpozenato,"{'largura': '136 cm', 'altura': '180 cm', 'profundidade': '17,5 cm', 'peso': '19,2 kg'}",sucesso
7908816370948,Balcão Buffet Sala de Jantar 179cm Lucca Off/Freijó C01 - Mpozenato,"{'largura': '179 cm', 'altura': '77 cm', 'profundidade': '37,9 cm', 'peso': '44,8 kg'}",sucesso
7908816370955,Balcão Buffet Sala de Jantar 179cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '179 cm', 'altura': '77 cm', 'profundidade': '37,9 cm', 'peso': '44,8 kg'}",sucesso
7908816370962,Cristaleira Porta de Vidro Com LED 90cm Lucca Off/Freijó C01 - Mpozenato,"{'largura': '90 cm', 'altura': '153 cm', 'profundidade': '38 cm', 'peso': '42 kg'}",sucesso
7908816370979,Cristaleira Porta de Vidro Com LED 90cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '90 cm', 'altura': '153 cm', 'profundidade': '38 cm', 'peso': '42 kg'}",sucesso
7908816370986,Painel Para TV 45 Pol e Rack Bancada 136cm Lucca Off/Freijó C01 - Mpozenato,"{'largura': '136 cm', 'altura': '180 cm', 'profundidade': '36 cm', 'peso': '43,2 kg'}",sucesso
7908816370993,Painel Para TV 45 Pol e Rack Bancada 136cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '136 cm', 'altura': '180 cm', 'profundidade': '36 cm', 'peso': '43,2 kg'}",sucesso
7908816371006,Painel Para TV 55 Pol e Rack Bancada 150cm Lucca Off/Freijó C01 - Mpozenato,"{'largura': '150 cm', 'altura': '180 cm', 'profundidade': '36 cm', 'peso': '50 kg'}",sucesso
7908816371013,Painel Para TV 55 Pol e Rack Bancada 150cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '150 cm', 'altura': '180 cm', 'profundidade': '36 cm', 'peso': '50 kg'}",sucesso
7908816371020,Painel Para TV 65 Pol e Rack Bancada 180cm Lucca Off/Freijó C01 - Mpozenato,"{'largura': '180 cm', 'altura': '180 cm', 'profundidade': '37,9 cm', 'peso': '58,5 kg'}",sucesso
7908816371037,Painel Para TV 65 Pol e Rack Bancada 180cm Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '180 cm', 'altura': '180 cm', 'profundidade': '37,9 cm', 'peso': '58,5 kg'}",sucesso
7908816371044,Buffet Aparador e Cristaleira com LED Lucca Off White/Freijó C01 - Mpozenato,"{'largura': '179 cm', 'altura': '153 cm', 'profundidade': '38 cm', 'peso': '86,6 kg'}",sucesso
7908816371051,Buffet Aparador e Cristaleira com LED Lucca Areia/Freijó C01 - Mpozenato,"{'largura': '179 cm', 'altura': '153 cm', 'profundidade': '38 cm', 'peso': '86,6 kg'}",sucesso
