ean,nome,atributos_extraidos,status
7908816369089,Balcão Buffet Cantinho do Café Bianca Branco/Freijó Z34 - Mpozenato,"{'largura': '90 cm', 'altura': '65 cm', 'profundidade': '33 cm', 'peso': '17 kg'}",sucesso
7908816369096,Balcão Buffet Cantinho do Café Bianca Freijó/Branco Z34 - Mpozenato,"{'largura': '90 cm', 'altura': '65 cm', 'profundidade': '33 cm', 'peso': '17 kg'}",sucesso
7908816369102,Balcão Buffet Cantinho do Café Bianca Freijó/Grafite Z34 - Mpozenato,"{'largura': '90 cm', 'altura': '65 cm', 'profundidade': '33 cm', 'peso': '17 kg'}",sucesso
7908816369119,Balcão Buffet Cantinho do Café Bianca Preto/Freijó Z34 - Mpozenato,"{'largura': '90 cm', 'altura': '65 cm', 'profundidade': '33 cm', 'peso': '17 kg'}",sucesso
