ean,nome,atributos_extraidos,status
7898913143890,Guarda Roupa Infantil 2 Portas Doce Sonho Branco - Qmovi,"{'largura': '88,5 cm', 'altura': '185 cm', 'profundidade': '47,5 cm', 'peso': '48,4 kg'}",sucesso
7908258540527,Berço Simples com Rodízios Certificado pelo Inmetro Doce Sonho - Qmovi,"{'largura': '68 cm', 'altura': '90 cm', 'profundidade': '133,5 cm', 'peso': '20 kg'}",sucesso
7898913143418,Cômoda Doce Sonho Branco - Qmovi,"{'largura': '64 cm', 'altura': '79,5 cm', 'profundidade': '45 cm', 'peso': '22 kg'}",sucesso
7898936460394,"Sapateira Itajaí com 46,7 cm de Largura - Politorno","{'largura': '46,7 cm', 'altura': '138 cm', 'profundidade': '17 cm', 'peso': '64 kg'}",sucesso
7899741100833,Poltrona de Amamentação Balanço e Puff Sabrina Sintético Rosa Bebê - Phoenix Baby,"{'largura': '76 cm', 'altura': '98 cm', 'profundidade': '70 cm', 'peso': '34 kg'}",sucesso
7899741100871,Poltrona de Amamentação Balanço e Puff Suzí Sintético Azul Bebê/Branco - Phoenix Baby,"{'largura': '67 cm', 'altura': '99 cm', 'profundidade': '73 cm', 'peso': '28 kg'}",sucesso
7908258540800,Guarda Roupa Infantil 02 Portas e Cômoda Sapateira Eloisa Branco - Phoenix Baby,"{'largura': '135 cm', 'altura': '225 cm', 'profundidade': '47 cm', 'peso': '120 kg'}",sucesso
7908258500026,Quarto Modulado Infantil com Guarda Roupa 02 Portas Eloísa Branco - Phoenix Baby,"{'largura': '160 cm', 'altura': '225 cm', 'profundidade': '47 cm', 'peso': '146 kg'}",sucesso
7908258500019,Guarda Roupa Infantil Modulado e Cômoda 04 Gavetas Eloísa Branco - Phoenix Baby,"{'largura': '160 cm', 'altura': '225 cm', 'profundidade': '47 cm', 'peso': '197 kg'}",sucesso
7899890602585,Sofá Cama para Sala de Estar Lisboa com Botonê - Ibiza,"{'largura': nan, 'altura': nan, 'profundidade': nan, 'peso': nan}",sucesso
7908258541050,Poltrona Decorativa para Sala de Estar e Recepção Vitória W01 - Mpozenato,"{'largura': '60 cm', 'altura': '83 cm', 'profundidade': '63 cm', 'peso': '25 kg'}",sucesso
7899741100604,Ponte Aérea 03 Portas Infantil com Nichos Eloísa Branco - Phoenix Baby,"{'largura': '160 cm', 'altura': '67 cm', 'profundidade': '38 cm', 'peso': '38 kg'}",sucesso
7898910158613,Mesa de Cabeceira 2 Gavetas Bombe Premier - Patrimar,"{'largura': '68 cm', 'altura': '71 cm', 'profundidade': '45 cm', 'peso': '18 kg'}",sucesso
7898612022205,Cabeceira Cama Box Casal 140cm Paris Veludo Cinza - JS Móveis,"{'largura': '144 cm', 'altura': '116 cm', 'profundidade': '24 cm', 'peso': '21 kg'}",sucesso
7908258541364,Cabeceira Casal Painel Cama Box 140cm Nina Suede Cinza - Ibiza,"{'largura': '140 cm', 'altura': '60 cm', 'profundidade': '8 cm', 'peso': '7 kg'}",sucesso
7908258500040,Quarto Infantil 05 Peças Eloísa com Berço e Cômoda Branco - Phoenix Baby,"{'largura': '160 cm', 'altura': '225 cm', 'profundidade': '133,5 cm', 'peso': '216,5 kg'}",sucesso
7908258513453,Jogo de Mesa e 04 Cadeiras Thais com Tampo Granito Branca/Assento Rattan - Artefamol,"{'largura': '70 cm', 'altura': '90 cm', 'profundidade': '70 cm', 'peso': '16 kg'}",sucesso
7899090143642,Balcão Multiuso 02 Portas Vitória Branco/Preto - AJL Móveis,"{'largura': '59 cm', 'altura': '89 cm', 'profundidade': '45 cm', 'peso': '21 kg'}",sucesso
7899090143192,Armário Aéreo 2 Portas 80 cm Branco - AJL Móveis,"{'largura': '80 cm', 'altura': '55 cm', 'profundidade': '31 cm', 'peso': '16 kg'}",sucesso
7899090143222,Armário Aéreo 3 Portas 120 cm Branco - AJL Móveis,"{'largura': '120 cm', 'altura': '55 cm', 'profundidade': '31 cm', 'peso': '23 kg'}",sucesso
7899090143659,Baú Multiuso Amanda - AJL Móveis,"{'largura': '95 cm', 'altura': '82 cm', 'profundidade': '56 cm', 'peso': '33 kg'}",sucesso
7899090143505,Armário Multiuso 02 Portas Sabrina Branco - AJL Móveis,"{'largura': '60 cm', 'altura': '190 cm', 'profundidade': '47 cm', 'peso': '42 kg'}",sucesso
7899090143451,Tábua de Passar Roupa Mariana Branco/Preto - AJL Móveis,"{'largura': '107 cm', 'altura': '87 cm', 'profundidade': '35 cm', 'peso': '19 kg'}",sucesso
7908816351848,Balcão Gabinete Para Pia Sem Tampo 120cm 3 Portas e 1 Gaveta Flex Gabriela Branco/Preto - AJL Móveis,"{'largura': '118 cm', 'altura': '80 cm', 'profundidade': '51 cm', 'peso': '27 kg'}",sucesso
7899090143130,Balcão Gabinete Para Pia Sem Tampo 150cm 4 Portas e 1 Gaveta Flex Gabriela Branco/Preto - AJL Móveis,"{'largura': '145 cm', 'altura': '80 cm', 'profundidade': '51 cm', 'peso': '32 kg'}",sucesso
7898518227940,Estante Livreiro 5 Prateleiras Office Preto Trama - Móveis Leão,"{'largura': '60,5 cm', 'altura': '188 cm', 'profundidade': '34 cm', 'peso': '26,5 kg'}",sucesso
7898490721528,Cômoda 4 Gavetas 1 Porta Belize Plus Branco Fosco Liso - Albatroz,"{'largura': '109 cm', 'altura': '161 cm', 'profundidade': '41 cm', 'peso': nan}",sucesso
7898612027774,Cabeceira Paris Para Cama Box Solteiro 90 cm Corino - JS Móveis,"{'largura': '90 cm', 'altura': '116 cm', 'profundidade': '24 cm', 'peso': nan}",sucesso
7908258556207,Balcão Gabinete de Pia sem Tampo 120cm 2 Portas Nathan - Nathy Móveis,"{'largura': '118 cm', 'altura': '84 cm', 'profundidade': '51 cm', 'peso': '37 kg'}",sucesso
7898268707549,Cabeceira Solteiro Greta 90 cm Suede Liso Vermelho - D'Monegatto,"{'largura': '90 cm', 'altura': '125 cm', 'profundidade': '10 cm', 'peso': '12 kg'}",sucesso
7899741101762,Poltrona de Amamentação Alicia com Balanço e Puff - Phoenix Baby,"{'largura': '74 cm', 'altura': '100 cm', 'profundidade': '75 cm', 'peso': '30 kg'}",sucesso
7898916457581,Armário Multiuso AR4000 para Área de Serviço - Art In Móveis,"{'largura': nan, 'altura': nan, 'profundidade': nan, 'peso': nan}",sucesso
7899741103162,Poltrona Decorativa Para Sala Pé Madeira Gabi Corino Branco - Phoenix,"{'largura': '67 cm', 'altura': '81 cm', 'profundidade': '77 cm', 'peso': '15 kg'}",sucesso
7908258555774,Poltrona Para Sala Pés de Madeira Kit 2 Gabi Sintético Branco - Phoenix,"{'largura': '67 cm', 'altura': '81 cm', 'profundidade': '77 cm', 'peso': '15 kg'}",sucesso
7908816344420,Nicho de Parede Porta Toalha Para Salão Barbearia 16 Divisões Branco - AJL Móveis,"{'largura': '52 cm', 'altura': '52 cm', 'profundidade': '20 cm', 'peso': '12 kg'}",sucesso
7908816351947,Nicho de Parede Porta Toalha Para Salão Barbearia 9 Divisões Branco - AJL Móveis,"{'largura': '39,5 cm', 'altura': '39,5 cm', 'profundidade': '20 cm', 'peso': '7 kg'}",sucesso
7899090143444,Tábua de Passar Roupa Mariana Branco - AJL Móveis,"{'largura': '107 cm', 'altura': '87 cm', 'profundidade': '35 cm', 'peso': '19 kg'}",sucesso
7908258592717,Penteadeira Suspensa com Painel e Espelho Joy Z49 Branco - Mpozenato,"{'largura': '90 cm', 'altura': '33,5 cm', 'profundidade': '33,5 cm', 'peso': '14,4 kg'}",sucesso
7908258592724,Penteadeira Suspensa com Painel e Espelho Joy P14 Preto - Mpozenato,"{'largura': '90 cm', 'altura': '33,5 cm', 'profundidade': '33,5 cm', 'peso': '14,4 kg'}",sucesso
7908258595688,Penteadeira Suspensa com Painel e Espelho Joy P14 Nature/Branco - Mpozenato,"{'largura': '90 cm', 'altura': '33,5 cm', 'profundidade': '33,5 cm', 'peso': '14,4 kg'}",sucesso
7899805409223,Mesa para Computador Escrivaninha Due Web 10 Gavetas - Artany,"{'largura': '147 cm', 'altura': '75 cm', 'profundidade': '45 cm', 'peso': '37,4 kg'}",sucesso
7899805408554,"Estante Livreiro Clean 45x81,2cm com 2 Prateleiras - Artany","{'largura': '45 cm', 'altura': '81,2 cm', 'profundidade': '30 cm', 'peso': '10,7 kg'}",sucesso
7899805408653,"Estante Livreiro Clean 90x187,8cm com 8 Prateleiras - Artany","{'largura': '90 cm', 'altura': '187,8 cm', 'profundidade': '30 cm', 'peso': '35,9 kg'}",sucesso
