ean,nome,atributos_extraidos,status
7908816368747,Poltrona Amamentação Base Balanço e Puff Vick Linho Bege F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368754,Poltrona Amamentação Base Balanço e Puff Vick Linho Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368761,Poltrona Amamentação Base Balanço e Puff Vick Veludo Off F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368778,Poltrona Amamentação Base Balanço e Puff Vick Veludo Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368785,Poltrona Amamentação Base Balanço e Puff Vick Bouclê Off F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368792,Poltrona Amamentação Base Balanço e Puff Vick Bouclê Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368808,Poltrona Amamentação Base Madeira Balanço Vick Linho Bege F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368815,Poltrona Amamentação Base Madeira Balanço Vick Linho Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368822,Poltrona Amamentação Base Madeira Balanço Vick Veludo Off F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368839,Poltrona Amamentação Base Madeira Balanço Vick Veludo Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368846,Poltrona Amamentação Base Madeira Balanço Vick Bouclê Off F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816369843,Poltrona Amamentação Base Madeira Balanço Vick Bouclê Cinza F03 - Mpozenato,"{'largura': '62 cm', 'altura': '88 cm', 'profundidade': '87 cm', 'peso': '20 kg'}",sucesso
7908816368853,Poltrona Amamentação Base Balanço e Puff Lola Linho Bege F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368860,Poltrona Amamentação Base Balanço e Puff Lola Linho Cinza F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368877,Poltrona Amamentação Base Balanço e Puff Lola Bouclê Off F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368884,Poltrona Amamentação Base Balanço e Puff Lola Veludo Off F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368891,Poltrona Amamentação Base Balanço e Puff Lola Veludo Cinza F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368907,Poltrona Amamentação Base Madeira Balanço Lola Linho Bege F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368914,Poltrona Amamentação Base Madeira Balanço Lola Linho Cinza F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368921,Poltrona Amamentação Base Madeira Balanço Lola Bouclê Off F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368938,Poltrona Amamentação Base Madeira Balanço Lola Veludo Off F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368945,Poltrona Amamentação Base Madeira Balanço Lola Veludo Cinza F03 - Mpozenato,"{'largura': '68 cm', 'altura': '98 cm', 'profundidade': '83 cm', 'peso': '18 kg'}",sucesso
7908816368952,Poltrona Amamentação Base Balanço e Puff Maju Linho Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816368969,Poltrona Amamentação Base Balanço e Puff Maju Linho Bege F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816368976,Poltrona Amamentação Base Balanço e Puff Maju Veludo Off F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816368983,Poltrona Amamentação Base Balanço e Puff Maju Veludo Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816368990,Poltrona Amamentação Base Balanço e Puff Maju Bouclê Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369003,Poltrona Amamentação Base Balanço e Puff Maju Bouclê Off F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369010,Poltrona Amamentação Base Balanço e Puff Maju Sintético Branco F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369027,Poltrona Amamentação Base Madeira Balanço Maju Linho Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369034,Poltrona Amamentação Base Madeira Balanço Maju Linho Bege F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369041,Poltrona Amamentação Base Madeira Balanço Maju Veludo Off F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369058,Poltrona Amamentação Base Madeira Balanço Maju Veludo Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369850,Poltrona Amamentação Base Madeira Balanço Maju Bouclê Cinza F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369065,Poltrona Amamentação Base Madeira Balanço Maju Bouclê Off F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
7908816369072,Poltrona Amamentação Base Balanço Maju Sintético Branco F03 - Mpozenato,"{'largura': '75 cm', 'altura': '100 cm', 'profundidade': '87 cm', 'peso': '24 kg'}",sucesso
