ean,prazo_erp,prazo_marketplace,diferenca,status
7908258539651,3,45,42,divergente
7898693654432,30,7,-23,divergente
7908816368570,25,3,-22,divergente
7908816363896,3,25,22,divergente
7908816364336,3,25,22,divergente
7908258519370,3,25,22,divergente
7908816332625,25,3,-22,divergente
7908816368686,25,3,-22,divergente
7908816362493,3,25,22,divergente
7908816368587,25,3,-22,divergente
7908816368679,25,3,-22,divergente
7908816368594,25,3,-22,divergente
7899630669649,25,5,-20,divergente
7908599390720,25,5,-20,divergente
7908599390522,25,5,-20,divergente
7908599390553,25,5,-20,divergente
7908816368051,5,20,15,divergente
7908816368075,5,20,15,divergente
7908449823255,3,7,4,divergente
7908449823415,3,7,4,divergente
7908449823293,3,7,4,divergente
7908499900043,3,7,4,divergente
7908449823217,3,7,4,divergente
7908816318346,3,4,1,divergente
7908599373891,4,5,1,divergente
7908599358102,4,5,1,divergente
7908599358089,3,4,1,divergente
