ean,prazo_erp,prazo_marketplace,diferenca,status
7908816368686,23,3,-20,divergente
7908816362493,3,23,20,divergente
7908816332625,23,3,-20,divergente
7908816368570,23,3,-20,divergente
7908816368679,23,3,-20,divergente
7908816363896,3,23,20,divergente
7908816368587,23,3,-20,divergente
7908816368594,23,3,-20,divergente
7908816364336,3,23,20,divergente
7908816366248,3,23,20,divergente
7898693654432,26,7,-19,divergente
7908816368051,5,20,15,divergente
7908816368075,5,20,15,divergente
7898518226103,15,3,-12,divergente
7908449823415,3,7,4,divergente
7908449823217,3,7,4,divergente
7908449823293,3,7,4,divergente
7908499900043,3,7,4,divergente
7908449823255,3,7,4,divergente
7908449894682,0,3,3,divergente
7908449892572,0,3,3,divergente
7908449814901,0,3,3,divergente
7908599325111,0,3,3,divergente
7908599325128,0,3,3,divergente
7908599325135,0,3,3,divergente
7898962378915,0,3,3,divergente
7908449892640,0,3,3,divergente
7908599325159,0,3,3,divergente
7908599325357,0,3,3,divergente
7908599366749,0,3,3,divergente
7908599366732,0,3,3,divergente
7908599325388,0,3,3,divergente
7908599325395,0,3,3,divergente
7908449877746,0,3,3,divergente
7908449892718,0,3,3,divergente
7898962378298,0,3,3,divergente
7908599366756,0,3,3,divergente
7908449892732,0,3,3,divergente
7908449892756,0,3,3,divergente
7908599336322,0,3,3,divergente
7898962378007,0,3,3,divergente
7898962378731,0,3,3,divergente
7898962378595,0,3,3,divergente
7908449892510,0,3,3,divergente
7908499900166,0,3,3,divergente
7908599366817,0,3,3,divergente
7908816352289,0,3,3,divergente
7908599366688,0,3,3,divergente
7908816359523,0,3,3,divergente
7908449892466,0,3,3,divergente
7908599366770,0,3,3,divergente
7908449844854,0,3,3,divergente
7908449894613,0,3,3,divergente
7908599366763,0,3,3,divergente
7908449892497,0,3,3,divergente
7908449894996,0,3,3,divergente
7908599366633,0,3,3,divergente
7908599325173,0,3,3,divergente
7908599325180,0,3,3,divergente
7908599307957,0,3,3,divergente
7908449895009,0,3,3,divergente
7898962378946,0,3,3,divergente
7908816352302,0,3,3,divergente
7908449894989,0,3,3,divergente
7908816349760,0,3,3,divergente
7908816349777,0,3,3,divergente
7898962378823,0,3,3,divergente
7908599366794,0,3,3,divergente
7908449814895,0,3,3,divergente
7908499902191,0,3,3,divergente
7908449894644,0,3,3,divergente
7898693654081,0,3,3,divergente
7898693654036,0,3,3,divergente
7898693654074,0,3,3,divergente
7908258544655,0,3,3,divergente
7908449894675,0,3,3,divergente
7908816368785,0,3,3,divergente
7908816368747,0,3,3,divergente
7908449877616,0,3,3,divergente
7908449877630,0,3,3,divergente
7908816318346,3,4,1,divergente
7908599358089,3,4,1,divergente
