ean,prazo_erp,prazo_marketplace,diferenca,status
7898374891415,7,30,23,divergente
7898374894355,7,30,23,divergente
7908816364367,25,3,-22,divergente
7908599337206,25,3,-22,divergente
7908816368594,25,3,-22,divergente
7908816364541,3,25,22,divergente
7908816364527,25,3,-22,divergente
7908816362493,3,25,22,divergente
7908816364206,25,3,-22,divergente
7908816375677,3,25,22,divergente
7908816375196,3,25,22,divergente
7908816375523,3,25,22,divergente
7908258558409,20,35,15,divergente
7908816340637,3,15,12,divergente
7908258506493,3,15,12,divergente
7908258515075,45,35,-10,divergente
7908816319923,45,35,-10,divergente
7908816373758,3,10,7,divergente
7908258502976,7,3,-4,divergente
7908258503386,7,3,-4,divergente
7908258503362,7,3,-4,divergente
7908258502853,7,3,-4,divergente
7908816396320,4,5,1,divergente
7908816396351,4,5,1,divergente
7908816396337,4,5,1,divergente
7908816396344,4,5,1,divergente
7908816396368,4,5,1,divergente
7908816396375,4,5,1,divergente
