ean,prazo_erp,prazo_marketplace,diferenca,status
81753,3,45,42,divergente
82748,45,15,-30,divergente
82744,45,15,-30,divergente
82745,45,15,-30,divergente
81302,45,20,-25,divergente
81278,45,20,-25,divergente
8103,45,20,-25,divergente
81283,45,20,-25,divergente
81263,45,20,-25,divergente
81279,45,20,-25,divergente
81291,45,20,-25,divergente
201896,3,25,22,divergente
81924,45,25,-20,divergente
81922,45,25,-20,divergente
81904,45,25,-20,divergente
81902,45,25,-20,divergente
660045015,45,25,-20,divergente
660045013,45,25,-20,divergente
660044993,45,25,-20,divergente
660045005,45,25,-20,divergente
660045003,45,25,-20,divergente
660044995,45,25,-20,divergente
81914,45,25,-20,divergente
81912,45,25,-20,divergente
79953,45,25,-20,divergente
83044,3,20,17,divergente
85457,3,20,17,divergente
82731,3,20,17,divergente
82732,3,20,17,divergente
82726,3,20,17,divergente
79120,25,10,-15,divergente
82276,30,15,-15,divergente
660045442,8,20,12,divergente
83055,30,20,-10,divergente
83017,30,20,-10,divergente
83038,30,20,-10,divergente
83033,30,20,-10,divergente
82866,30,20,-10,divergente
64209,25,15,-10,divergente
82943,30,20,-10,divergente
64192,25,15,-10,divergente
84111,25,15,-10,divergente
201997,25,15,-10,divergente
64069,25,15,-10,divergente
63510,25,15,-10,divergente
83018,30,20,-10,divergente
83039,30,20,-10,divergente
83031,30,20,-10,divergente
83032,30,20,-10,divergente
82940,30,20,-10,divergente
83019,30,20,-10,divergente
83020,30,20,-10,divergente
83021,30,20,-10,divergente
83066,30,20,-10,divergente
53873,25,15,-10,divergente
83045,30,20,-10,divergente
83047,30,20,-10,divergente
83046,30,20,-10,divergente
199589,15,25,10,divergente
84124,25,15,-10,divergente
83030,30,20,-10,divergente
83022,30,20,-10,divergente
199591,15,25,10,divergente
82864,30,20,-10,divergente
201996,25,15,-10,divergente
82670,25,20,-5,divergente
82557,25,20,-5,divergente
82668,25,20,-5,divergente
82387,25,20,-5,divergente
82653,25,20,-5,divergente
82685,25,20,-5,divergente
82684,25,20,-5,divergente
85449,25,20,-5,divergente
82658,25,20,-5,divergente
82632,25,20,-5,divergente
82689,25,20,-5,divergente
82688,25,20,-5,divergente
82686,25,20,-5,divergente
85450,25,20,-5,divergente
81593,20,15,-5,divergente
85451,25,20,-5,divergente
660044611,20,15,-5,divergente
81591,20,15,-5,divergente
660045240,20,25,5,divergente
660044713,15,10,-5,divergente
660044604,20,15,-5,divergente
81582,25,20,-5,divergente
82616,25,20,-5,divergente
82615,25,20,-5,divergente
81592,20,15,-5,divergente
660044609,20,15,-5,divergente
85446,25,20,-5,divergente
85447,25,20,-5,divergente
85448,25,20,-5,divergente
85454,25,20,-5,divergente
85455,25,20,-5,divergente
82624,25,20,-5,divergente
85456,25,20,-5,divergente
82592,25,20,-5,divergente
82380,25,20,-5,divergente
82648,25,20,-5,divergente
82588,25,20,-5,divergente
82383,25,20,-5,divergente
82595,25,20,-5,divergente
82594,25,20,-5,divergente
82637,25,20,-5,divergente
82711,25,20,-5,divergente
26657,25,20,-5,divergente
82633,25,20,-5,divergente
82664,25,20,-5,divergente
60446,25,20,-5,divergente
82673,25,20,-5,divergente
82584,25,20,-5,divergente
82503,25,20,-5,divergente
82720,25,20,-5,divergente
81809,15,10,-5,divergente
85432,25,20,-5,divergente
85433,25,20,-5,divergente
81168,25,30,5,divergente
82729,25,20,-5,divergente
82737,25,20,-5,divergente
82727,25,20,-5,divergente
81181,25,30,5,divergente
82738,25,20,-5,divergente
82730,25,20,-5,divergente
82607,25,20,-5,divergente
81560,5,8,3,divergente
81476,5,8,3,divergente
81480,5,8,3,divergente
204951,4,5,1,divergente
